Section,Source File,Line,Label/Href,Link Target,Status,Notes
Link,app\expertise\strategy\page.tsx,60,,/,ok,
Link,app\expertise\strategy\page.tsx,62,,/expertise,ok,
Link,app\expertise\strategy\page.tsx,92,,/case-studies,ok,
Link,app\expertise\strategy\page.tsx,274,,/contact,ok,
Link,app\expertise\strategy-insights\page.tsx,50,,/contact,ok,
Link,app\expertise\strategy-insights\page.tsx,215,,/expertise,ok,
Link,app\expertise\systems-operations\page.tsx,50,,/contact,ok,
Link,app\expertise\systems-operations\page.tsx,215,,/expertise,ok,
Link,app\expertise\[slug]\page.tsx,204,,/expertise,ok,
Link,app\expertise\[slug]\page.tsx,351,,/contact,ok,
Link,app\expertise\[slug]\page.tsx,357,,/case-studies,ok,
Link,app\industries\page.tsx,39,,/case-studies,ok,
Link,app\industries\page.tsx,173,,/contact,ok,
Link,app\not-found.tsx,21,,/,ok,
Link,app\page.tsx,70,,/contact,ok,
Link,app\page.tsx,74,,/expertise,ok,
Link,app\page.tsx,192,,/case-studies,ok,
Link,app\page.tsx,309,,/about,ok,
Link,app\projects\page.tsx,226,,/contact,ok,
Link,app\projects\page.tsx,232,,/expertise,ok,
Link,app\projects\[slug]\page.tsx,83,,/contact,ok,
Link,app\projects\[slug]\page.tsx,84,,/projects,ok,
Link,app\resume\page.tsx,123,,/,ok,
Link,app\resume\page.tsx,124,,/resume,ok,
Link,app\resume\page.tsx,296,,/contact,ok,
Link,app\resume\page.tsx,297,,/case-studies,ok,
Link,components\expertise\ExpertiseHero.tsx,87,,/,ok,
Link,components\expertise\ExpertiseHero.tsx,91,,/expertise,ok,
Link,components\expertise\ExpertiseHero.tsx,135,,/contact,ok,
Link,components\industries\IndustryPageContent.tsx,97,,/contact,ok,
Link,components\industries\IndustryPageContent.tsx,98,,/case-studies,ok,
Link,components\layout\Footer.tsx,8,,/about,ok,
Link,components\layout\Footer.tsx,9,,/case-studies,ok,
Link,components\layout\Footer.tsx,10,,/industries,ok,
Link,components\layout\Footer.tsx,11,,/resume,ok,
Link,components\layout\Footer.tsx,14,,/contact,ok,
Link,components\layout\Footer.tsx,35,,/,ok,
Link,components\layout\Footer.tsx,134,,/privacy,BROKEN,
Link,components\layout\Footer.tsx,137,,/terms,BROKEN,
Link,components\layout\MegaMenu.tsx,9,,/expertise/content-engagement,ok,
Link,components\layout\MegaMenu.tsx,12,,/expertise/content-marketing,ok,dynamic
Link,components\layout\MegaMenu.tsx,13,,/expertise/email-marketing,ok,dynamic
Link,components\layout\MegaMenu.tsx,14,,/expertise/omnichannel-marketing,ok,dynamic
Link,components\layout\MegaMenu.tsx,15,,/expertise/social-media-marketing,ok,dynamic
Link,components\layout\MegaMenu.tsx,16,,/expertise/video-marketing,ok,dynamic
Link,components\layout\MegaMenu.tsx,21,,/expertise/demand-growth,ok,
Link,components\layout\MegaMenu.tsx,24,,/expertise/demand-generation,ok,dynamic
Link,components\layout\MegaMenu.tsx,25,,/expertise/seo,ok,dynamic
Link,components\layout\MegaMenu.tsx,26,,/expertise/growth-marketing,ok,dynamic
Link,components\layout\MegaMenu.tsx,27,,/expertise/paid-advertising-sem,ok,dynamic
Link,components\layout\MegaMenu.tsx,28,,/expertise/event-marketing,ok,dynamic
Link,components\layout\MegaMenu.tsx,33,,/expertise/strategy-insights,ok,
Link,components\layout\MegaMenu.tsx,36,,/expertise/account-based-marketing-abm,ok,dynamic
Link,components\layout\MegaMenu.tsx,37,,/expertise/customer-experience-cx,ok,dynamic
Link,components\layout\MegaMenu.tsx,38,,/expertise/customer-marketing,ok,dynamic
Link,components\layout\MegaMenu.tsx,39,,/expertise/lifecycle-marketing,ok,dynamic
Link,components\layout\MegaMenu.tsx,40,,/expertise/market-research,ok,dynamic
Link,components\layout\MegaMenu.tsx,45,,/expertise/systems-operations,ok,
Link,components\layout\MegaMenu.tsx,48,,/expertise/ai-in-marketing,ok,dynamic
Link,components\layout\MegaMenu.tsx,49,,/expertise/marketing-automation,ok,dynamic
Link,components\layout\MegaMenu.tsx,50,,/expertise/marketing-operations,ok,dynamic
Link,components\layout\MegaMenu.tsx,51,,/expertise/martech-optimization,ok,dynamic
Link,components\layout\MegaMenu.tsx,52,,/expertise/sales-enablement,ok,dynamic
Link,components\layout\MegaMenu.tsx,96,,/expertise,ok,
Link,components\layout\Navbar.tsx,181,,/,ok,
Link,components\layout\Navbar.tsx,206,,/case-studies,ok,
Link,components\layout\Navbar.tsx,225,,/about,ok,
Link,components\layout\Navbar.tsx,231,,/contact,ok,
Link,components\layout\Navbar.tsx,305,,/industries,ok,
Link,components\ui\IndustriesDropdown.tsx,26,,/industries,ok,
Link,components\ui\MobileMegaMenu.tsx,151,,/expertise,ok,
Link,components\ui\MobileMegaMenu.tsx,166,,/industries,ok,
Link,lib\types.ts,92,,/expertise/content-engagement,ok,
Link,lib\types.ts,100,,/expertise/demand-growth,ok,
Link,lib\types.ts,108,,/expertise/strategy-insights,ok,
Link,lib\types.ts,116,,/expertise/systems-operations,ok,
Link,src\components\animations\PipelineDashboard.tsx,271,,/lead/12345,BROKEN,
Broken,components\layout\Footer.tsx,134,,/privacy,BROKEN,
Broken,components\layout\Footer.tsx,137,,/terms,BROKEN,
Broken,src\components\animations\PipelineDashboard.tsx,271,,/lead/12345,BROKEN,
Orphan,,,,/blog/post,unreferenced,
Orphan,,,,/case-studies/ai-visualizations/[id],unreferenced,dynamic
Orphan,,,,/case-studies/[slug],unreferenced,dynamic
Orphan,,,,/expertise/analytics,unreferenced,
Orphan,,,,/expertise/automation,unreferenced,
Orphan,,,,/expertise/optimization,unreferenced,
Orphan,,,,/expertise/strategy,unreferenced,
Orphan,,,,/projects/[slug],unreferenced,dynamic
Orphan,,,,/services/content-marketing,unreferenced,
Orphan,,,,/services/demand-generation,unreferenced,
Orphan,,,,/services/paid-advertising,unreferenced,
Orphan,,,,/services/seo,unreferenced,
Orphan,,,,/services/social-media,unreferenced,
Orphan,,,,/services/video-creative,unreferenced,
